2021-10-12 18:29:04,889 INFO    MainThread:13612 [wandb_init.py:_resume_backend():265] resuming backend
2021-10-12 18:47:31,151 INFO    MainThread:13612 [wandb_init.py:_pause_backend():256] pausing backend
2021-10-12 18:47:31,151 INFO    MainThread:13612 [jupyter.py:save_ipynb():298] not saving jupyter notebook
2021-10-12 18:47:31,206 INFO    MainThread:13612 [wandb_init.py:_resume_backend():265] resuming backend
2021-10-12 18:47:31,206 INFO    MainThread:13612 [wandb_init.py:_pause_backend():256] pausing backend
2021-10-12 18:47:31,207 INFO    MainThread:13612 [jupyter.py:save_ipynb():298] not saving jupyter notebook
2021-10-12 18:47:31,288 INFO    MainThread:13612 [wandb_init.py:_resume_backend():265] resuming backend
2021-10-12 18:47:31,644 INFO    MainThread:13612 [wandb_init.py:_pause_backend():256] pausing backend
2021-10-12 18:47:31,645 INFO    MainThread:13612 [jupyter.py:save_ipynb():298] not saving jupyter notebook
2021-10-12 18:47:31,675 INFO    MainThread:13612 [wandb_init.py:_resume_backend():265] resuming backend
2021-10-12 18:47:33,265 INFO    MainThread:13612 [wandb_init.py:_pause_backend():256] pausing backend
2021-10-12 18:47:33,265 INFO    MainThread:13612 [jupyter.py:save_ipynb():298] not saving jupyter notebook
2021-10-12 18:47:56,801 INFO    MainThread:13612 [wandb_init.py:_resume_backend():265] resuming backend
2021-10-12 18:47:57,850 INFO    MainThread:13612 [wandb_init.py:_pause_backend():256] pausing backend
2021-10-12 18:47:57,850 INFO    MainThread:13612 [jupyter.py:save_ipynb():298] not saving jupyter notebook
2021-10-12 18:47:59,602 INFO    MainThread:13612 [wandb_init.py:_resume_backend():265] resuming backend
2021-10-12 18:47:59,633 INFO    MainThread:13612 [wandb_init.py:_pause_backend():256] pausing backend
2021-10-12 18:47:59,633 INFO    MainThread:13612 [jupyter.py:save_ipynb():298] not saving jupyter notebook
2021-10-12 18:48:01,456 INFO    MainThread:13612 [wandb_init.py:_resume_backend():265] resuming backend
2021-10-12 18:48:01,553 INFO    MainThread:13612 [wandb_init.py:_pause_backend():256] pausing backend
2021-10-12 18:48:01,554 INFO    MainThread:13612 [jupyter.py:save_ipynb():298] not saving jupyter notebook
